feature,coefficient,abs_coefficient
num__missingindicator_Hormonal Contraceptives (years),-1.8695524812275934,1.8695524812275934
bin__STDs:syphilis,-1.750360963076646,1.750360963076646
bin__Dx:HPV,1.410244048463825,1.410244048463825
bin__Dx:CIN,1.3996645074578895,1.3996645074578895
bin__STDs:HIV,0.8125972875991353,0.8125972875991353
num__missingindicator_STDs (number),0.7950697594176458,0.7950697594176458
bin__IUD,0.7684573917992016,0.7684573917992016
bin__Dx,0.7375414012936126,0.7375414012936126
num__missingindicator_STDs: Time since first diagnosis,-0.30903038443851816,0.30903038443851816
num__missingindicator_IUD (years),-0.3081473566554782,0.3081473566554782
